company,location,tag,gender,yoe_total,tc,base,country,state
IBM,"Durham, NC",Distributed Systems (Back-End),Male,19.0,185000.0,185000.0,United States,North Carolina
Oracle,"Seattle, WA",Security,Male,15.0,310000.0,180000.0,United States,Washington
IBM,"Reston, VA",Full Stack,Male,10.0,146000.0,138000.0,United States,Virginia
Capital One,"Washington, DC",Full Stack,Male,1.0,123000.0,117000.0,United States,District of Columbia
Amazon,"Philadelphia, PA",Full Stack,Male,4.0,165000.0,140000.0,United States,Pennsylvania
Google,"San Bruno, CA",API Development (Back-End),Male,5.0,352000.0,170000.0,United States,California
Facebook,"Menlo Park, CA",ML / AI,Male,4.0,284000.0,167000.0,United States,California
Cisco,"Austin, TX",Web Development (Front-End),Female,8.0,180000.0,140000.0,United States,Texas
Amazon,"Seattle, WA",DevOps,Male,5.0,200000.0,160000.0,United States,Washington
Capital One,"New York, NY",API Development (Back-End),Male,3.0,135000.0,125000.0,United States,New York
Amazon,"Seattle, WA",API Development (Back-End),Male,0.0,138000.0,108000.0,United States,Washington
Cisco,"San Jose, CA",Networking,Male,4.0,222000.0,148000.0,United States,California
Oracle,"Seattle, WA",Full Stack,Male,1.0,210000.0,140000.0,United States,Washington
Google,"San Francisco, CA",Distributed Systems (Back-End),Male,3.0,210000.0,140000.0,United States,California
Microsoft,"Hyderabad, TS, India",ML / AI,Male,4.0,40000.0,25000.0,India,Telangana
Microsoft,"Seattle, WA",API Development (Back-End),Male,2.0,162000.0,120000.0,United States,Washington
Amazon,"San Francisco, CA",API Development (Back-End),Male,1.0,190000.0,135000.0,United States,California
Google,"Sunnyvale, CA",Distributed Systems (Back-End),Male,5.0,400000.0,210000.0,United States,California
IBM,"Austin, TX",Distributed Systems (Back-End),Male,2.0,126000.0,126000.0,United States,Texas
Google,"San Francisco, CA",Android,Male,3.0,250000.0,160000.0,United States,California
Apple,"Austin, TX",iOS,Male,16.0,365000.0,165000.0,United States,Texas
Microsoft,"Seattle, WA",Full Stack,Male,2.0,186000.0,131000.0,United States,Washington
Amazon,"Seattle, WA",Full Stack,Male,5.0,211000.0,156000.0,United States,Washington
Lyft,"Palo Alto, CA",ML / AI,Male,7.0,366000.0,189000.0,United States,California
IBM,"San Francisco, CA",Distributed Systems (Back-End),Male,8.0,228000.0,218000.0,United States,California
Google,"Mountain View, CA",Full Stack,Male,8.0,300000.0,190000.0,United States,California
Google,"Mountain View, CA",ML / AI,Female,0.0,206000.0,149000.0,United States,California
Amazon,"Seattle, WA",Distributed Systems (Back-End),Male,3.0,240000.0,143000.0,United States,Washington
Amazon,"San Francisco, CA",Distributed Systems (Back-End),Male,8.0,250000.0,155000.0,United States,California
Microsoft,"Sunnyvale, CA",Networking,Male,5.0,175000.0,150000.0,United States,California
Qualcomm,"San Diego, CA",Embedded Software,Male,1.0,115000.0,100000.0,United States,California
JPMorgan Chase,"New York, NY",Full Stack,Male,6.0,145000.0,140000.0,United States,New York
JPMorgan Chase,"Columbus, OH",Full Stack,Male,1.0,92000.0,87000.0,United States,Ohio
Cisco,"Vancouver, BC, Canada",Distributed Systems (Back-End),Male,10.0,167000.0,118000.0,Canada,British Columbia
JPMorgan Chase,"New York, NY",Full Stack,Male,5.0,137000.0,125000.0,United States,New York
Uber,"Bengaluru, KA, India",Full Stack,Male,0.0,42000.0,25000.0,India,Karnataka
Facebook,"San Francisco, CA",Distributed Systems (Back-End),Male,6.0,337000.0,185000.0,United States,California
Facebook,"Seattle, WA",ML / AI,Male,0.0,213000.0,115000.0,United States,Washington
Amazon,"Hyderabad, AP, India",Distributed Systems (Back-End),Male,5.0,50000.0,37000.0,India,Andhra Pradesh
Lyft,"San Francisco, CA",Full Stack,Male,3.0,300000.0,165000.0,United States,California
Microsoft,"Sunnyvale, CA",Networking,Male,5.0,217000.0,170000.0,United States,California
Google,"Sunnyvale, CA",Distributed Systems (Back-End),Male,3.0,235000.0,150000.0,United States,California
Qualcomm,"San Diego, CA",API Development (Back-End),Female,7.0,180000.0,130000.0,United States,California
Qualcomm,"San Diego, CA",Networking,Female,5.0,173000.0,130000.0,United States,California
Facebook,"Menlo Park, CA",Full Stack,Male,7.0,293000.0,167000.0,United States,California
Amazon,"Boston, MA",Storage,Male,24.0,202000.0,152000.0,United States,Massachusetts
Amazon,"Chennai, TN, India",Distributed Systems (Back-End),Male,21.0,125000.0,80000.0,India,Tamil Nadu
Lyft,"Seattle, WA",Distributed Systems (Back-End),Male,11.0,410000.0,195000.0,United States,Washington
Facebook,"Seattle, WA",Distributed Systems (Back-End),Male,11.0,455000.0,205000.0,United States,Washington
Amazon,"San Francisco, CA",Distributed Systems (Back-End),Male,6.0,179000.0,128000.0,United States,California
IBM,"San Francisco, CA",ML / AI,Male,0.0,160000.0,140000.0,United States,California
Amazon,"Bellevue, WA",iOS,Male,2.0,153000.0,125000.0,United States,Washington
Google,"Seattle, WA",Full Stack,Male,7.0,362000.0,188000.0,United States,Washington
IBM,"San Jose, CA",ML / AI,Male,0.0,140000.0,140000.0,United States,California
Salesforce,"Bellevue, WA",Web Development (Front-End),Male,20.0,310000.0,210000.0,United States,Washington
Uber,"Pittsburgh, PA",ML / AI,Male,1.0,180000.0,135000.0,United States,Pennsylvania
Amazon,"Seattle, WA",Full Stack,Female,5.0,170000.0,150000.0,United States,Washington
Microsoft,"Redmond, WA",Full Stack,Male,5.0,320000.0,189000.0,United States,Washington
Google,"Sunnyvale, CA",Distributed Systems (Back-End),Male,15.0,610000.0,225000.0,United States,California
JPMorgan Chase,"Houston, TX",Full Stack,Female,8.0,160000.0,138000.0,United States,Texas
Facebook,"Menlo Park, CA",Distributed Systems (Back-End),Male,12.0,470000.0,225000.0,United States,California
IBM,"Houston, TX",Distributed Systems (Back-End),Female,5.0,137000.0,137000.0,United States,Texas
Apple,"Cupertino, CA",Security,Female,1.0,161000.0,139000.0,United States,California
Amazon,"Seattle, WA",API Development (Back-End),Male,7.0,200000.0,150000.0,United States,Washington
Facebook,"New York, NY",ML / AI,Female,2.0,258000.0,167000.0,United States,New York
Goldman Sachs,"London, EN, United Kingdom",Full Stack,Male,1.0,134000.0,71000.0,United Kingdom,England
Facebook,"Redmond, WA",Research,Male,13.0,295000.0,180000.0,United States,Washington
Apple,"Cupertino, CA",ML / AI,Male,0.0,227000.0,155000.0,United States,California
Google,"Pittsburgh, PA",Full Stack,Male,1.0,139000.0,103000.0,United States,Pennsylvania
Facebook,"San Francisco, CA",API Development (Back-End),Male,1.0,165000.0,110000.0,United States,California
Salesforce,"San Francisco, CA",Full Stack,Male,0.0,175000.0,130000.0,United States,California
Capital One,"Plano, TX",Web Development (Front-End),Male,2.0,97000.0,94000.0,United States,Texas
JPMorgan Chase,"Houston, TX",Full Stack,Male,1.0,97000.0,92000.0,United States,Texas
JPMorgan Chase,"New York, NY",Full Stack,Male,8.0,164000.0,139000.0,United States,New York
Amazon,"Seattle, WA",Full Stack,Male,8.0,250000.0,142000.0,United States,Washington
Microsoft,"Redmond, WA",Distributed Systems (Back-End),Male,8.0,184000.0,158000.0,United States,Washington
JPMorgan Chase,"Seattle, WA",Security,Male,19.0,450000.0,250000.0,United States,Washington
Apple,"Cupertino, CA",Web Development (Front-End),Male,18.0,273000.0,170000.0,United States,California
Uber,"Boulder, CO",Distributed Systems (Back-End),Male,8.0,297000.0,169000.0,United States,Colorado
Google,"Pittsburgh, PA",Distributed Systems (Back-End),Male,22.0,302000.0,150000.0,United States,Pennsylvania
Apple,"Cupertino, CA",ML / AI,Male,3.0,260000.0,150000.0,United States,California
Amazon,"Seattle, WA",Full Stack,Male,5.0,235000.0,140000.0,United States,Washington
Microsoft,"Redmond, WA",Full Stack,Male,1.0,179000.0,109000.0,United States,Washington
Amazon,"Boulder, CO",ML / AI,Male,2.0,165000.0,140000.0,United States,Colorado
Google,"Mountain View, CA",Distributed Systems (Back-End),Female,8.0,404000.0,200000.0,United States,California
Google,"New York, NY",Distributed Systems (Back-End),Male,18.0,525000.0,248000.0,United States,New York
Microsoft,"Redmond, WA",API Development (Back-End),Male,5.0,233000.0,163000.0,United States,Washington
Microsoft,"Seattle, WA",Full Stack,Male,0.0,140000.0,110000.0,United States,Washington
Amazon,"Bangalore, KA, India",Full Stack,Male,4.0,44000.0,36000.0,India,Karnataka
Amazon,"Vancouver, BC, Canada",Distributed Systems (Back-End),Male,10.0,145000.0,103000.0,Canada,British Columbia
Microsoft,"Redmond, WA",iOS,Male,3.0,184000.0,132000.0,United States,Washington
Amazon,"Seattle, WA",Security,Male,1.0,142000.0,116000.0,United States,Washington
JPMorgan Chase,"Chicago, IL",Full Stack,Female,1.0,100000.0,95000.0,United States,Illinois
Uber,"San Francisco, CA",iOS,Male,3.0,220000.0,142000.0,United States,California
Facebook,"Menlo Park, CA",Web Development (Front-End),Male,0.0,161000.0,110000.0,United States,California
Facebook,"Menlo Park, CA",Distributed Systems (Back-End),Male,6.0,335000.0,181000.0,United States,California
Uber,"San Francisco, CA",Full Stack,Male,30.0,467000.0,225000.0,United States,California
Lyft,"San Francisco, CA",Web Development (Front-End),Male,4.0,268000.0,160000.0,United States,California
Apple,"Cupertino, CA",ML / AI,Female,1.0,233000.0,152000.0,United States,California
Amazon,"Seattle, WA",Full Stack,Male,0.0,148000.0,112000.0,United States,Washington
Salesforce,"San Francisco, CA",Performance Engineer,Male,9.0,268000.0,198000.0,United States,California
Facebook,"New York, NY",API Development (Back-End),Male,3.0,250000.0,148000.0,United States,New York
IBM,"San Jose, CA",API Development (Back-End),Male,5.0,180000.0,180000.0,United States,California
